#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_129	86019	56	N	N	2	*	-106,-87,-87,-87,-87,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,606,-559,-542,541,-603,-86,-85,-86,-85,127,-103,-84,-83,-83,-82,-82,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,129,-214,610,-609,-214,610,-609,-214
contig_275	85126	20	N	N	1	*	273,274,273,-274,273,273,273,-274,273,273,273,-274,273,273,273,273,-274,273,275,*
contig_258	85108	20	N	N	1	*	251,256,-252,251,258,496,-389,388,-92,-158
contig_119	84651	20	N	N	1	*	-139,119,*
contig_470	84564	33	N	N	1	*	470
contig_100	81345	24	N	N	1	*	100,641,-548,-605,89,89
contig_165	80832	23	N	N	1	*	-89,-89,-89,-89,-89,-89,-101,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,165,*
contig_188	80681	20	N	N	1	*	369,371,188,-73,75
contig_349	80322	20	N	N	1	*	*,349,*
contig_81	79791	20	N	N	1	*	*,81,-120
contig_549	78443	20	N	N	1	*	*,549,*
contig_56	78133	25	N	N	1	*	56,503,505,505,506,-602,-31
contig_647	77370	21	Y	N	1	*	647
contig_60	76676	21	N	N	2	*	-337,-616,-63,43,60,-457,-456,-628,-454
contig_204	76565	20	N	N	1	*	*,204,*
contig_202	76004	16	N	N	1	*	175,176,184,196,202,*
contig_631	75950	19	Y	N	2	*	631
contig_554	75129	9	N	N	2	*	*,554,555
contig_575	74788	20	N	N	1	*	*,575,*
contig_497	74742	28	N	N	1	*	*,497,*
contig_138	74450	20	N	N	2	*	-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-82,138,-479,-19,-15,-14,-15,-14,-14,27
contig_318	73943	44	N	N	1	*	*,318
contig_367	73174	20	Y	N	1	*	367
contig_69	73087	19	N	N	1	*	-42,-600,69,*
contig_306	73073	19	N	N	1	*	*,306,*
contig_580	73061	20	N	N	2	*	*,580,*
contig_172	72784	20	N	N	1	*	*,172,206
contig_526	72778	20	N	N	1	*	*,526,*
contig_551	71451	20	N	N	2	*	*,551,553
contig_380	70187	20	N	N	1	*	375,379,380,*
contig_300	69229	21	N	N	1	*	-27,14,14,15,19,479,300,-543,-541,542,559,-606
contig_363	68775	17	N	N	2	*	363,-71,*
contig_253	68366	20	N	N	1	*	253,-620,-361,362
contig_530	68064	20	N	N	1	*	-27,14,14,15,19,479,480,530,-543,-541,542,559,-606,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,87,87,87,87,87,87,87,106
contig_140	67612	29	N	N	1	*	-89,-89,-89,-89,-89,-89,-89,-89,-101,-89,-89,-89,-89,140,-355
contig_356	67427	19	N	N	2	*	*,356
contig_55	67312	20	N	N	2	*	55
contig_198	67027	27	N	N	1	*	175,176,184,196,198,-312
contig_317	64201	20	N	N	1	*	*,317,*
contig_126	64146	19	N	N	1	*	*,126,82,82,83,83,84,103,168,-127,85,86
contig_524	63768	19	N	N	1	*	*,524,-431,-18,-14,27
contig_131	63622	20	N	N	1	*	-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-101,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,131,-533,-533,-533,-533,-533,-533,-533,-533,-533,-533,-533,-533,*
contig_417	63426	21	N	N	1	*	413,624,414,415,415,416,-625,419,-418,415,416,-625,419,-418,417,-504,-502,426,427,428,429,430,-18,-14,-14,27
contig_583	63079	8	N	N	1	*	582,582,582,582,582,583,*
contig_231	62520	23	N	N	1	*	-413,-467,231
contig_556	60628	19	N	N	1	*	*,556,*
contig_455	60613	20	N	N	2	*	*,455,*
contig_635	60460	21	N	N	2	*	489,635,492,491,491,491,492,492,491,491,492,492,491,491,492,492,491,492,491,492,491,493,492,492,491,492,492,490,490,492,491,491,492,494,492,492,493,490,491,493,491,490,492,491,491,491,492,493,491,492,492,493,491,491,491,492,491,491,492,491,491,492,492,490,493,491,492,491,492,494,493,493,493,492,492,493,492,494,494,494,492,493,492,492,491,491,491,491,494,494,492,493,492,492,492,492,493,493,492,492,491,494,491,491,492,493,492,491,491,494,494,493,494,493,492,493,493,494
contig_293	59510	20	N	N	1	*	291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,-434,293,-291,-291,-291,-291,-291,-291,-291,-291,-291,-291,-291,-291,-291,-291,-291,-291,-291,-291,-291,-291,-291
contig_122	59485	20	N	N	2	*	122,-548,-605,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,82,82,83,83,84,103,-127,85
contig_596	58928	20	N	N	2	*	*,596,*
contig_195	58774	19	N	N	1	*	195,*
contig_381	58619	20	N	N	1	*	375,379,381,468,-615
contig_611	58390	17	N	N	1	*	-235,611
contig_190	57161	64	N	N	1	*	190
contig_189	57113	20	N	N	1	*	189
contig_585	56546	19	N	N	1	*	*,585,*
contig_232	53176	19	N	N	1	*	256,-252,251,256,-252,251,256,-228,232,475,-630
contig_507	52854	31	N	N	1	*	*,507,*
contig_124	52451	21	N	N	1	*	91,91,124,*
contig_626	51484	21	N	N	1	*	-402,-364,366,-397,-396,-393,-141,109,-396,-396,623,626
contig_514	49915	20	N	N	1	*	*,514,*
contig_39	49555	20	N	N	1	*	39,-439,-73,75,443,450,451,453,454
contig_200	49549	20	N	N	1	*	-193,175,176,184,196,200,-340,351,424
contig_286	49541	19	N	N	1	*	*,286,*
contig_287	49194	20	N	N	1	*	*,287
contig_142	47641	20	N	N	1	*	-86,-85,127,-169,-103,-84,-83,-83,-82,-82,142,-623,396,396,-109,141,391,393,396,397,-366,364,402
contig_170	47040	20	N	Y	4	*	170
contig_399	46983	20	N	Y	2	*	399
contig_478	45572	20	N	N	1	*	*,478,*
contig_143	45311	21	N	N	1	*	-603,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,143,-464,463,-466,-464,463,-466
contig_284	45104	19	N	N	1	*	*,284,*
contig_573	45002	16	N	N	1	*	*,573,*
contig_336	44698	21	N	N	1	*	336
contig_276	44561	20	N	N	1	*	*,276,*
contig_637	44309	8	N	Y	1	*	637
contig_458	43953	21	N	N	1	*	454,628,456,629,458,460,461
contig_516	43565	30	N	Y	1	*	516
contig_614	43425	20	N	N	1	*	*,614,*
contig_35	43134	22	N	N	1	*	35,600,42
contig_136	42918	20	N	N	1	*	-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,136,-480,-479,-19,-15,-14,-14,27
contig_244	41244	15	N	Y	5	*	244
contig_370	41092	20	N	N	1	*	*,370,*
contig_513	40957	20	N	N	2	*	*,513,*
contig_233	40900	21	N	N	1	*	*,233,*
contig_522	40364	20	N	N	1	*	-75,73,439,522,-523
contig_148	40258	20	N	N	1	*	-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,148,-479,-19,-15,-14,-14,-14,27
contig_597	39473	21	N	N	1	*	*,597,*
contig_71	38854	20	N	Y	1	*	*,71
contig_41	38643	20	N	N	2	*	41,-423,422,424
contig_517	38195	14	N	N	1	*	-516,517,-544
contig_403	38174	19	N	N	1	*	*,403,*
contig_225	37909	20	N	Y	1	*	225
contig_369	37234	20	N	Y	1	*	369
contig_158	36668	21	N	Y	1	*	158
contig_66	36121	20	N	Y	3	*	66
contig_459	36050	20	N	Y	3	*	459
contig_452	35550	20	N	N	2	*	-453,-451,452,-447,-445,-444,-627
contig_377	33996	20	N	Y	2	*	377
contig_476	33664	20	N	Y	1	*	476
contig_385	33557	20	N	N	1	*	617,-350,340,348,382,383,385,388,-92
contig_386	32828	20	N	N	1	*	340,347,617,-350,340,348,382,382,383,384,386,388
contig_288	32794	21	N	N	1	*	*,288
contig_484	32386	34	N	N	1	*	*,484,*
contig_167	32363	24	N	N	1	*	-89,-86,-85,127,-169,-103,-102,-82,-89,-89,-89,-89,-89,-89,-89,-89,-89,-101,-89,-89,-89,-89,-89,-89,167,-604
contig_171	31159	21	N	N	1	*	127,-168,-103,-83,-83,-83,-82,-82,-96,127,-168,171,516
contig_574	30997	21	N	N	1	*	*,574,*
contig_368	30987	20	N	Y	2	*	368
contig_425	30830	21	N	N	2	*	*,425,*
contig_155	30757	20	N	N	1	*	-511,509,-510,-112,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,155
contig_483	30654	19	Y	Y	1	2	483
contig_499	29977	17	N	N	1	*	498,499,500
contig_472	29609	20	N	Y	2	*	472
contig_622	29299	20	N	Y	2	*	622
contig_360	29249	17	N	Y	2	*	*,360
contig_488	28758	21	N	N	1	*	*,488,*
contig_550	28407	24	N	N	1	*	*,550,*
contig_649	28381	33	Y	N	2	*	649
contig_634	27979	27	N	N	1	*	*,634,*
contig_547	27401	23	N	Y	1	*	547
contig_54	27203	20	N	N	1	*	-337,-616,-63,43,44,54,-334,-333,-332,-462,-461
contig_156	26849	20	N	Y	1	*	156,*
contig_495	25171	20	N	N	20	*	*,495,-387,-384,-383,-382,-382,-348,-340,350,-617,-347,-340
contig_3	24461	139	N	Y	2	*	3
contig_254	24118	20	N	N	1	*	254,460,461
contig_139	23671	20	N	Y	20	*	139
contig_525	23321	21	N	N	1	*	*,525,*
contig_58	22797	24	Y	N	1	*	58
contig_30	22198	20	N	Y	20	*	30
contig_618	22175	21	N	N	1	*	*,618,*
contig_227	21869	20	N	Y	1	*	227
contig_612	21618	24	N	Y	2	*	612
contig_558	21492	16	N	Y	2	16	*,558,*
contig_648	21326	20	N	N	1	*	123,648,*
contig_402	21251	24	N	Y	1	*	402
contig_160	21162	20	N	N	1	*	-89,-89,-89,-89,-101,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-89,-86,-85,127,-168,-103,-84,-83,-83,-82,-82,-89,160,-561,-561
contig_557	21115	20	N	Y	1	16	*,557,*
contig_104	21078	20	N	Y	2	*	104
contig_535	20907	20	N	N	1	*	*,535,*
contig_321	20869	20	N	Y	2	*	*,321
contig_555	20808	14	N	Y	2	*	555
contig_433	20762	25	Y	N	1	*	433
contig_110	18805	19	N	Y	3	*	110
contig_432	18314	21	N	Y	1	*	432
contig_166	17864	20	N	N	1	*	*,166,*
contig_220	17528	42	Y	Y	1	*	220
contig_342	17262	20	N	N	1	*	342,338,339,343,344
contig_236	17171	51	Y	Y	1	*	236
contig_534	17097	26	N	Y	1	*	*,534,*
contig_449	16828	20	N	Y	1	*	449
contig_485	16634	21	N	Y	1	12	*,485,*
contig_299	16593	28	Y	Y	1	*	299
contig_264	16538	21	N	N	1	*	*,264,*
contig_539	16526	21	N	N	2	*	*,539,*
contig_565	16466	20	N	Y	1	18	*,565,*
contig_61	16098	20	N	Y	1	*	61
contig_209	16040	38	Y	Y	1	*	209
contig_465	16003	20	N	Y	1	*	465
contig_278	15917	63	Y	Y	1	*	278
contig_613	15561	24	N	Y	24	*	*,613,*
contig_255	15368	20	N	N	2	*	*,255,*
contig_562	15265	20	N	N	1	*	561,562
contig_187	15227	47	N	Y	1	*	187
contig_486	14948	21	N	N	1	*	*,486,*
contig_581	14824	21	N	N	1	*	*,581,*
contig_309	14598	32	N	N	1	*	*,309,*
contig_137	14315	20	N	N	1	*	*,137,*
contig_38	14304	20	N	N	1	*	38
contig_239	14254	40	Y	Y	1	*	239
contig_330	14090	13	N	N	1	*	*,330,*
contig_537	13773	19	N	N	1	*	*,537,*
contig_604	13300	39	N	Y	1	*	604
contig_25	13212	20	N	Y	6	*	25
contig_633	12921	19	N	Y	1	12	*,633,*
contig_149	12749	21	N	N	2	*	-90,149
contig_587	12445	21	Y	N	1	*	587
contig_435	12433	20	N	N	2	*	*,435,*
contig_619	12271	20	Y	N	1	*	619
contig_277	12067	21	Y	Y	1	*	277
contig_152	11888	20	N	N	1	*	-103,-84,-83,-83,-82,-82,-89,-89,-89,-89,-89,-89,152,-117
contig_212	11755	21	Y	Y	1	*	212
contig_481	11674	22	N	Y	1	*	481
contig_487	11598	24	Y	Y	1	*	487
contig_584	11428	19	Y	N	1	*	584
contig_538	11408	21	N	N	1	*	*,538,*
contig_217	11186	37	N	Y	1	*	217
contig_290	11081	25	Y	Y	1	*	290
contig_477	10864	20	N	N	10	*	*,477,*
contig_352	10745	18	N	N	1	*	*,352,*
contig_219	10676	20	N	N	1	*	*,219,*
contig_245	10609	20	N	Y	1	*	245
contig_259	10532	20	N	Y	4	*	259
contig_289	10459	21	Y	Y	1	*	289
contig_173	10408	21	N	Y	1	*	173
contig_498	10325	21	N	Y	1	*	498
contig_194	9931	27	N	Y	1	*	194
contig_588	9747	22	Y	Y	1	*	588
contig_296	9642	29	Y	Y	1	*	296
contig_365	9616	21	N	Y	1	*	365
contig_294	9395	25	Y	Y	1	*	294
contig_586	9215	20	Y	N	1	*	586
contig_118	9110	20	N	N	1	*	*,118,*
contig_315	8909	21	N	Y	1	*	315
contig_312	8847	20	N	Y	1	*	312
contig_528	8733	20	N	N	1	*	-529,528,-121,125,113,-114,125
contig_594	8722	26	N	Y	4	*	594
contig_521	8586	24	N	N	2	*	*,521,*
contig_519	8501	20	N	Y	4	14	*,519,*
contig_210	8486	20	N	Y	5	8	*,210,*
contig_329	8405	20	N	Y	10	*	329
contig_79	8402	20	Y	Y	1	*	79
contig_272	8239	21	N	Y	1	*	272
contig_394	8199	21	N	N	1	*	*,394,*
contig_536	8023	20	Y	N	1	*	536
contig_234	8011	21	Y	Y	1	*	234
contig_378	7972	20	N	Y	3	*	378
contig_238	7900	20	Y	Y	1	*	238
contig_546	7676	21	N	Y	1	*	546
contig_159	7592	20	N	Y	1	*	159
contig_473	7500	20	N	N	1	*	*,473,*
contig_164	7477	20	N	N	1	*	*,164,*
contig_235	7446	20	N	Y	1	*	235
contig_638	7226	21	Y	Y	1	*	638
contig_263	7081	20	Y	Y	1	*	263
contig_285	7007	21	Y	Y	1	*	285
contig_262	6721	20	Y	Y	1	*	262
contig_564	6481	20	N	Y	1	18	*,564,*
contig_213	6442	20	Y	Y	1	*	213
contig_469	6421	20	N	N	5	*	*,469,*
contig_310	6414	19	Y	N	1	*	310
contig_413	6241	21	N	Y	1	*	413
contig_70	6169	20	Y	Y	1	*	70
contig_297	6131	20	N	Y	1	*	297
contig_302	6049	20	Y	Y	1	*	302
contig_185	5969	21	N	Y	1	*	185
contig_303	5968	20	Y	Y	1	*	303
contig_531	5865	20	N	Y	1	*	531
contig_341	5831	20	N	Y	2	*	341
contig_64	5782	13	N	N	1	*	64
contig_237	5758	20	Y	Y	1	*	237
contig_646	5740	20	Y	N	1	*	646
contig_105	5729	21	N	Y	1	*	105
contig_411	5655	20	N	Y	20	*	411
contig_576	5030	20	Y	Y	1	*	576
contig_553	4942	20	N	Y	1	*	553
contig_515	4612	20	Y	Y	2	*	515
contig_489	4512	20	N	Y	1	*	489
contig_532	4485	20	N	Y	1	*	532
contig_223	4463	20	N	Y	1	*	223
contig_146	4441	20	N	Y	1	*	146
contig_520	4406	8	Y	Y	1	*	520
contig_77	4385	20	Y	Y	1	*	77
contig_218	4358	13	N	N	1	*	218,582
contig_409	4172	20	N	Y	1	*	409
contig_248	4155	19	Y	Y	1	*	248
contig_179	4142	20	N	Y	1	*	179
contig_471	4064	20	N	Y	1	*	471
contig_442	4037	20	N	Y	1	*	442
contig_607	3628	20	N	Y	20	*	607
contig_207	3496	20	N	Y	20	*	207
contig_271	3349	10	N	Y	1	*	271
contig_325	3290	14	N	Y	7	*	325
contig_72	3221	20	Y	Y	1	*	72
contig_636	3210	20	N	Y	1	*	636
contig_420	3061	20	N	Y	1	*	420
contig_2	2996	20	N	Y	1	6	*,2,*
contig_448	2898	21	N	Y	1	*	448
contig_260	2686	20	N	Y	1	*	260
contig_304	2570	9	N	Y	1	10	*,304,*
contig_153	2503	20	N	Y	1	*	153
contig_552	2487	12	N	Y	1	*	552
contig_224	2396	20	N	Y	1	*	224
contig_1	2380	20	N	Y	1	6	*,1,*
contig_174	2309	20	N	Y	20	*	174
contig_292	2309	14	N	Y	2	*	292
contig_116	2244	18	N	Y	1	*	116
contig_392	2028	20	N	Y	1	*	392
contig_601	1958	14	N	Y	1	*	601
contig_221	1616	9	N	Y	1	*	221
contig_326	1426	20	N	Y	1	*	326
contig_135	1162	8	N	Y	1	*	135
contig_52	968	12	N	Y	1	*	52
contig_132	946	9	N	Y	1	*	132
contig_49	942	20	N	Y	1	*	49
contig_346	891	20	N	Y	1	*	346
contig_527	737	12	N	Y	1	*	527
contig_45	631	8	N	Y	1	*	45
